City,Population
"Paris, France", 11020000.0
"Beijing, China",19433000.0
"Shanghai, China",22120000.0
"Saint Petersburg, Russia",5351935.0
"Moscow, Russia",17125000.0
"Nanjing, China",7496000.0
"New York City, United States",
"Washington, D.C., United States",5379184.0
"Florence, Italy",382258.0
"Madrid, Spain",3266126.0
Vatican City,825.0
"Tianjin, China",10800000.0
"London, United Kingdom",10979000.0
"Taichung, Taiwan",2803894.0
"Taipei, Taiwan",2684567.0
"Tokyo, Japan",37977000.0
"Denver, United States",2876625.0
"Hangzhou, China",6446000.0
"Edinburgh, United Kingdom",488050.0
"Berlin, Germany",3644826.0
"Amsterdam, Netherlands",
"München, Germany",
"Mexico City, Mexico",20996000.0
"Changsha, China",7044118.0
