Museum,City,Visitors
Louvre,"Paris, France",2600000
National Museum of China,"Beijing, China",2378000
Shanghai Science and Technology Museum,"Shanghai, China",2368000
China Science and Technology Museum,"Beijing, China",2360000
Russian Museum,"Saint Petersburg, Russia",2260231
Multimedia Art Museum,"Moscow, Russia",2242405
Shanghai Natural History Museum,"Shanghai, China",2166000
Nanjing Museum,"Nanjing, China",2034000
Metropolitan Museum of Art,"New York City, United States",1958000
National Gallery of Art,"Washington, D.C., United States",1704606
Galleria degli Uffizi,"Florence, Italy",1700000
State Hermitage Museum,"Saint Petersburg, Russia",1649443
Museo Reina Sofía,"Madrid, Spain",1643000
Vatican Museums,Vatican City,1612530
Tianjin Natural History Museum,"Tianjin, China",1600000
Tretyakov Gallery,"Moscow, Russia",1580819
Natural History Museum,"London, United Kingdom",1571413
National Museum of Natural Science,"Taichung, Taiwan",1566000
Centre Pompidou,"Paris, France",1500000
British Museum,"London, United Kingdom",1327120
National Taiwan Science Education Center,"Taipei, Taiwan",1158000
Tate Modern,"London, United Kingdom",1156037
Museo del Prado,"Madrid, Spain",1126875
Tokyo Metropolitan Art Museum,"Tokyo, Japan",1049843
Musée d'Orsay,"Paris, France",1044365
Denver Museum of Nature and Science,"Denver, United States",958830
London Science Museum,"London, United Kingdom",955573
Zhejiang Museum,"Hangzhou, China",929000
Shanghai Museum,"Shanghai, China",880457
Victoria and Albert Museum,"London, United Kingdom",857742
National Gallery,"London, United Kingdom",708924
Royal Museums Greenwich,"London, United Kingdom",686375
National Museum of Scotland,"Edinburgh, United Kingdom",660741
Museum Island,"Berlin, Germany",640000
Rijksmuseum,"Amsterdam, Netherlands",625000
Deutsches Museum,"München, Germany",517000
National Museum of Anthropology,"Mexico City, Mexico",477147
National Palace Museum[a],"Taipei, Taiwan",416436
National Museum of African-American History and Culture,"Washington, D.C., United States",392960
Van Gogh Museum,"Amsterdam, Netherlands",366359
National Museum of History,"Mexico City, Mexico",331985
Hunan Museum,"Changsha, China",460000
